sensor_read_datetime,soil
2019-05-01 16:05:14,2641
2019-05-01 16:04:08,2649
2019-05-01 16:03:02,2653
2019-05-01 16:01:55,2658
2019-05-01 16:00:50,2651
2019-05-01 15:59:43,2653
2019-05-01 15:58:37,2652
2019-05-01 15:57:32,2659
2019-05-01 15:56:25,2643
2019-05-01 15:55:20,2650
2019-05-01 15:54:14,2643
2019-05-01 15:53:08,2651
2019-05-01 15:52:02,2650
2019-05-01 15:50:55,2658
2019-05-01 15:49:49,2652
2019-05-01 15:48:43,2648
2019-05-01 15:47:37,2657
2019-05-01 15:46:32,2664
2019-05-01 15:45:25,2659
2019-05-01 15:44:19,2656
2019-05-01 15:43:14,2645
2019-05-01 15:42:08,2647
2019-05-01 15:41:01,2656
2019-05-01 15:39:55,2649
2019-05-01 15:38:49,2645
2019-05-01 15:37:44,2659
2019-05-01 15:36:37,2652
2019-05-01 15:35:32,2652
2019-05-01 15:34:26,2659
2019-05-01 15:33:19,2668
2019-05-01 15:32:13,2648
2019-05-01 15:31:07,2657
2019-05-01 15:30:03,2658
2019-05-01 15:28:56,2649
2019-05-01 15:27:49,2648
2019-05-01 15:26:44,2663
2019-05-01 15:25:37,2641
2019-05-01 15:24:32,2665
2019-05-01 15:23:25,2651
2019-05-01 15:22:20,2663
2019-05-01 15:21:14,2652
2019-05-01 15:20:08,2649
2019-05-01 15:19:02,2656
2019-05-01 15:17:55,2656
2019-05-01 15:16:49,2668
2019-05-01 15:15:43,2657
2019-05-01 15:14:37,2653
2019-05-01 15:13:31,2652
2019-05-01 15:12:25,2657
2019-05-01 15:11:19,2649
2019-05-01 15:10:13,2655
2019-05-01 15:09:07,2662
2019-05-01 15:08:01,2660
2019-05-01 15:06:55,2657
2019-05-01 15:05:49,2645
2019-05-01 15:04:43,2651
2019-05-01 15:03:37,2656
2019-05-01 15:02:32,2648
2019-05-01 15:01:25,2652
2019-05-01 15:00:19,2653
2019-05-01 14:59:13,2657
2019-05-01 14:58:07,2656
2019-05-01 14:57:02,2658
2019-05-01 14:55:55,2665
2019-05-01 14:54:49,2656
2019-05-01 14:53:43,2672
2019-05-01 14:52:37,2650
2019-05-01 14:51:31,2647
2019-05-01 14:50:25,2660
2019-05-01 14:49:19,2644
2019-05-01 14:48:13,2657
2019-05-01 14:47:07,2656
2019-05-01 14:46:01,2656
2019-05-01 14:44:55,2655
2019-05-01 14:43:49,2653
2019-05-01 14:42:43,2663
2019-05-01 14:41:37,2665
2019-05-01 14:40:31,2654
2019-05-01 14:39:25,2658
2019-05-01 14:38:19,2664
2019-05-01 14:37:13,2662
2019-05-01 14:36:08,2651
2019-05-01 14:35:01,2656
2019-05-01 14:33:55,2643
2019-05-01 14:32:49,2669
2019-05-01 14:31:43,2653
2019-05-01 14:30:37,2661
2019-05-01 14:29:32,2657
2019-05-01 14:28:25,2647
2019-05-01 14:27:19,2654
2019-05-01 14:26:13,2648
2019-05-01 14:25:07,2656
2019-05-01 14:24:02,2643
2019-05-01 14:22:55,2652
2019-05-01 14:21:49,2647
2019-05-01 14:20:43,2657
2019-05-01 14:19:37,2639
2019-05-01 14:18:31,2655
2019-05-01 14:17:25,2655
2019-05-01 14:16:19,2649
2019-05-01 14:15:13,2653
2019-05-01 14:14:07,2648
2019-05-01 14:13:01,2661
2019-05-01 14:11:55,2660
2019-05-01 14:10:49,2648
2019-05-01 14:09:43,2645
2019-05-01 14:08:37,2651
2019-05-01 14:07:31,2648
2019-05-01 14:06:25,2654
2019-05-01 14:05:19,2643
2019-05-01 14:04:13,2659
2019-05-01 14:03:07,2653
2019-05-01 14:02:01,2659
2019-05-01 14:00:55,2652
2019-05-01 13:59:49,2644
2019-05-01 13:58:43,2660
2019-05-01 13:57:37,2650
2019-05-01 13:56:31,2650
2019-05-01 13:55:25,2644
2019-05-01 13:54:19,2657
2019-05-01 13:53:13,2657
2019-05-01 13:52:07,2652
2019-05-01 13:51:01,2653
2019-05-01 13:49:55,2656
2019-05-01 13:48:49,2657
2019-05-01 13:47:43,2658
2019-05-01 13:46:37,2649
2019-05-01 13:45:31,2651
2019-05-01 13:44:25,2654
2019-05-01 13:43:19,2653
2019-05-01 13:42:13,2643
2019-05-01 13:41:07,2653
2019-05-01 13:40:01,2644
2019-05-01 13:38:55,2656
2019-05-01 13:37:49,2630
2019-05-01 13:36:43,2657
2019-05-01 13:35:37,2644
2019-05-01 13:34:31,2647
2019-05-01 13:33:25,2651
2019-05-01 13:32:19,2654
2019-05-01 13:31:13,2644
2019-05-01 13:30:07,2639
2019-05-01 13:29:01,2639
2019-05-01 13:27:55,2653
2019-05-01 13:26:49,2634
2019-05-01 13:25:43,2644
2019-05-01 13:24:37,2641
2019-05-01 13:23:31,2645
2019-05-01 13:22:25,2643
2019-05-01 13:21:20,2645
2019-05-01 13:20:13,2646
2019-05-01 13:19:07,2644
2019-05-01 13:18:01,2650
2019-05-01 13:16:55,2660
2019-05-01 13:15:49,2637
2019-05-01 13:14:43,2655
2019-05-01 13:13:37,2655
2019-05-01 13:12:31,2643
2019-05-01 13:11:25,2647
2019-05-01 13:10:19,2656
2019-05-01 13:09:13,2644
2019-05-01 13:08:07,2640
2019-05-01 13:07:01,2639
2019-05-01 13:05:55,2648
2019-05-01 13:04:49,2644
2019-05-01 13:03:43,2641
2019-05-01 13:02:37,2631
2019-05-01 13:01:31,2639
2019-05-01 13:00:25,2655
2019-05-01 12:59:19,2652
2019-05-01 12:58:13,2636
2019-05-01 12:57:07,2649
2019-05-01 12:56:01,2654
2019-05-01 12:54:55,2655
2019-05-01 12:53:49,2639
2019-05-01 12:52:43,2637
2019-05-01 12:51:37,2640
2019-05-01 12:50:31,2644
2019-05-01 12:49:25,2648
2019-05-01 12:48:19,2641
2019-05-01 12:47:13,2641
2019-05-01 12:46:07,2631
2019-05-01 12:45:01,2643
2019-05-01 12:43:55,2640
2019-05-01 12:42:49,2631
2019-05-01 12:41:43,2646
2019-05-01 12:40:37,2631
2019-05-01 12:39:31,2636
2019-05-01 12:38:25,2644
2019-05-01 12:37:19,2636
2019-05-01 12:36:13,2630
2019-05-01 12:35:07,2627
2019-05-01 12:34:01,2634
2019-05-01 12:32:55,2634
2019-05-01 12:31:49,2643
2019-05-01 12:30:43,2640
2019-05-01 12:29:37,2637
2019-05-01 12:28:31,2630
2019-05-01 12:27:25,2640
2019-05-01 12:26:19,2641
2019-05-01 12:25:13,2624
2019-05-01 12:24:07,2645
2019-05-01 12:23:01,2638
2019-05-01 12:21:55,2644
2019-05-01 12:20:49,2648
2019-05-01 12:19:43,2639
2019-05-01 12:18:37,2633
2019-05-01 12:17:31,2640
2019-05-01 12:16:25,2633
2019-05-01 12:15:19,2648
2019-05-01 12:14:13,2641
2019-05-01 12:13:07,2645
2019-05-01 12:12:01,2639
2019-05-01 12:10:55,2639
2019-05-01 12:09:49,2639
2019-05-01 12:08:43,2638
2019-05-01 12:07:37,2648
2019-05-01 12:06:31,2649
2019-05-01 12:05:25,2639
2019-05-01 12:04:19,2640
2019-05-01 12:03:13,2644
2019-05-01 12:02:07,2640
2019-05-01 12:01:01,2645
2019-05-01 11:59:55,2639
2019-05-01 11:58:49,2633
2019-05-01 11:57:43,2635
2019-05-01 11:56:37,2636
2019-05-01 11:55:31,2642
2019-05-01 11:54:25,2637
2019-05-01 11:53:19,2633
2019-05-01 11:52:13,2649
2019-05-01 11:51:07,2643
2019-05-01 11:50:01,2641
2019-05-01 11:48:55,2623
2019-05-01 11:47:49,2630
2019-05-01 11:46:43,2631
2019-05-01 11:45:38,2641
2019-05-01 11:44:31,2631
2019-05-01 11:43:25,2639
2019-05-01 11:42:19,2621
2019-05-01 11:41:13,2632
2019-05-01 11:40:07,2636
2019-05-01 11:39:01,2631
2019-05-01 11:37:55,2622
2019-05-01 11:36:48,2643
2019-05-01 11:35:43,2628
2019-05-01 11:34:37,2633
2019-05-01 11:33:30,2621
2019-05-01 11:32:25,2632
2019-05-01 11:31:19,2628
2019-05-01 11:30:13,2639
2019-05-01 11:29:07,2629
2019-05-01 11:28:00,2631
2019-05-01 11:26:55,2623
2019-05-01 11:25:48,2626
2019-05-01 11:24:43,2629
2019-05-01 11:23:36,2646
2019-05-01 11:22:31,2643
2019-05-01 11:21:25,2643
2019-05-01 11:20:19,2639
2019-05-01 11:19:13,2629
2019-05-01 11:18:07,2644
2019-05-01 11:17:00,2634
2019-05-01 11:15:55,2619
2019-05-01 11:14:49,2624
2019-05-01 11:13:43,2645
2019-05-01 11:12:37,2627
2019-05-01 11:11:30,2640
2019-05-01 11:10:25,2618
2019-05-01 11:09:19,2636
2019-05-01 11:08:13,2628
2019-05-01 11:07:07,2620
2019-05-01 11:06:00,2627
2019-05-01 11:04:55,2619
2019-05-01 11:03:49,2615
2019-05-01 11:02:42,2621
2019-05-01 11:01:36,2620
2019-05-01 11:00:31,2624
2019-05-01 10:59:25,2627
2019-05-01 10:58:18,2617
2019-05-01 10:57:12,2624
2019-05-01 10:56:06,2610
2019-05-01 10:55:01,2616
2019-05-01 10:53:54,2627
2019-05-01 10:52:49,2632
2019-05-01 10:51:42,2621
2019-05-01 10:50:37,2631
2019-05-01 10:49:30,2621
2019-05-01 10:48:25,2619
2019-05-01 10:47:19,2631
2019-05-01 10:46:13,2619
2019-05-01 10:45:07,2624
2019-05-01 10:44:00,2624
2019-05-01 10:42:54,2617
2019-05-01 10:41:48,2613
2019-05-01 10:40:43,2621
2019-05-01 10:39:36,2640
2019-05-01 10:38:30,2613
2019-05-01 10:37:25,2626
2019-05-01 10:36:19,2609
2019-05-01 10:35:12,2633
2019-05-01 10:34:06,2615
2019-05-01 10:33:01,2617
2019-05-01 10:31:55,2615
2019-05-01 10:30:49,2620
2019-05-01 10:29:42,2611
2019-05-01 10:28:36,2624
2019-05-01 10:27:30,2625
2019-05-01 10:26:25,2620
2019-05-01 10:25:19,2622
2019-05-01 10:24:12,2617
2019-05-01 10:23:07,2613
2019-05-01 10:22:01,2616
2019-05-01 10:20:54,2626
2019-05-01 10:19:48,2623
2019-05-01 10:18:42,2621
2019-05-01 10:17:37,2616
2019-05-01 10:16:30,2628
2019-05-01 10:15:25,2627
2019-05-01 10:14:18,2617
2019-05-01 10:13:12,2627
2019-05-01 10:12:07,2612
2019-05-01 10:11:00,2625
2019-05-01 10:09:54,2627
2019-05-01 10:08:48,2616
2019-05-01 10:07:42,2619
2019-05-01 10:06:36,2624
2019-05-01 10:05:30,2620
2019-05-01 10:04:24,2619
2019-05-01 10:03:18,2620
2019-05-01 10:02:12,2619
2019-05-01 10:01:06,2616
2019-05-01 10:00:03,2621
2019-05-01 09:58:54,2630
2019-05-01 09:57:48,2613
2019-05-01 09:56:42,2613
2019-05-01 09:55:36,2624
2019-05-01 09:54:30,2628
2019-05-01 09:53:24,2615
2019-05-01 09:52:19,2618
2019-05-01 09:51:12,2624
2019-05-01 09:50:07,2625
2019-05-01 09:49:00,2625
2019-05-01 09:47:54,2612
2019-05-01 09:46:48,2608
2019-05-01 09:45:42,2616
2019-05-01 09:44:36,2609
2019-05-01 09:43:30,2613
2019-05-01 09:42:24,2623
2019-05-01 09:41:18,2612
2019-05-01 09:40:12,2624
2019-05-01 09:39:06,2627
2019-05-01 09:38:00,2624
2019-05-01 09:36:54,2609
2019-05-01 09:35:48,2621
2019-05-01 09:34:42,2609
2019-05-01 09:33:36,2616
2019-05-01 09:32:30,2609
2019-05-01 09:31:24,2613
2019-05-01 09:30:18,2628
2019-05-01 09:29:12,2616
2019-05-01 09:28:06,2616
2019-05-01 09:27:00,2617
2019-05-01 09:25:54,2615
2019-05-01 09:24:48,2621
2019-05-01 09:23:42,2613
2019-05-01 09:22:36,2620
2019-05-01 09:21:30,2611
2019-05-01 09:20:24,2609
2019-05-01 09:19:18,2616
2019-05-01 09:18:12,2614
2019-05-01 09:17:06,2615
2019-05-01 09:16:00,2608
2019-05-01 09:14:54,2613
2019-05-01 09:13:48,2611
2019-05-01 09:12:44,2624
2019-05-01 09:11:36,2612
2019-05-01 09:10:30,2621
2019-05-01 09:09:24,2606
2019-05-01 09:08:18,2608
2019-05-01 09:07:12,2618
2019-05-01 09:06:06,2608
2019-05-01 09:05:00,2621
2019-05-01 09:03:54,2611
2019-05-01 09:02:48,2620
2019-05-01 09:01:42,2617
2019-05-01 09:00:36,2621
2019-05-01 08:59:30,2617
2019-05-01 08:58:24,2620
2019-05-01 08:57:18,2621
2019-05-01 08:56:12,2610
2019-05-01 08:55:06,2619
2019-05-01 08:54:00,2616
2019-05-01 08:52:54,2617
2019-05-01 08:51:48,2614
2019-05-01 08:50:42,2622
2019-05-01 08:49:36,2617
2019-05-01 08:48:30,2625
2019-05-01 08:47:24,2608
2019-05-01 08:46:18,2604
2019-05-01 08:45:12,2628
2019-05-01 08:44:06,2604
2019-05-01 08:43:00,2613
2019-05-01 08:41:54,2617
2019-05-01 08:40:48,2613
2019-05-01 08:39:42,2622
2019-05-01 08:38:36,2611
2019-05-01 08:37:30,2619
2019-05-01 08:36:24,2613
2019-05-01 08:35:18,2615
2019-05-01 08:34:12,2620
2019-05-01 08:33:06,2607
2019-05-01 08:32:00,2611
2019-05-01 08:30:54,2606
2019-05-01 08:29:48,2608
2019-05-01 08:28:42,2605
2019-05-01 08:27:36,2616
2019-05-01 08:26:30,2612
2019-05-01 08:25:24,2609
2019-05-01 08:24:18,2606
2019-05-01 08:23:12,2613
2019-05-01 08:22:06,2619
2019-05-01 08:21:00,2616
2019-05-01 08:19:54,2624
2019-05-01 08:18:48,2618
2019-05-01 08:17:42,2612
2019-05-01 08:16:36,2612
2019-05-01 08:15:30,2605
2019-05-01 08:14:24,2613
2019-05-01 08:13:18,2607
2019-05-01 08:12:12,2612
2019-05-01 08:11:06,2610
2019-05-01 08:10:01,2613
2019-05-01 08:08:54,2607
2019-05-01 08:07:48,2605
2019-05-01 08:06:43,2607
2019-05-01 08:05:36,2612
2019-05-01 08:04:30,2602
2019-05-01 08:03:25,2615
2019-05-01 08:02:18,2608
2019-05-01 08:01:12,2607
2019-05-01 08:00:06,2609
2019-05-01 07:59:00,2615
2019-05-01 07:57:54,2605
2019-05-01 07:56:48,2603
2019-05-01 07:55:42,2610
2019-05-01 07:54:36,2610
2019-05-01 07:53:30,2595
2019-05-01 07:52:24,2613
2019-05-01 07:51:18,2606
2019-05-01 07:50:12,2607
2019-05-01 07:49:06,2608
2019-05-01 07:48:01,2611
2019-05-01 07:46:54,2602
2019-05-01 07:45:48,2605
2019-05-01 07:44:42,2606
2019-05-01 07:43:36,2611
2019-05-01 07:42:30,2610
2019-05-01 07:41:24,2595
2019-05-01 07:40:18,2611
2019-05-01 07:39:12,2593
2019-05-01 07:38:06,2611
2019-05-01 07:37:00,2612
2019-05-01 07:35:54,2592
2019-05-01 07:34:48,2615
2019-05-01 07:33:42,2600
2019-05-01 07:32:36,2602
2019-05-01 07:31:30,2603
2019-05-01 07:30:24,2601
2019-05-01 07:29:18,2599
2019-05-01 07:28:12,2607
2019-05-01 07:27:06,2600
2019-05-01 07:26:00,2595
2019-05-01 07:24:54,2601
2019-05-01 07:23:48,2590
2019-05-01 07:22:42,2597
2019-05-01 07:21:36,2607
2019-05-01 07:20:30,2596
2019-05-01 07:19:24,2592
2019-05-01 07:18:18,2595
2019-05-01 07:17:12,2585
2019-05-01 07:16:06,2595
2019-05-01 07:15:00,2608
2019-05-01 07:13:54,2598
2019-05-01 07:12:48,2597
2019-05-01 07:11:42,2602
2019-05-01 07:10:36,2603
2019-05-01 07:09:30,2597
2019-05-01 07:08:24,2591
2019-05-01 07:07:18,2605
2019-05-01 07:06:12,2589
2019-05-01 07:05:06,2587
2019-05-01 07:04:00,2585
2019-05-01 07:02:54,2610
2019-05-01 07:01:48,2592
2019-05-01 07:00:42,2608
2019-05-01 06:59:36,2596
2019-05-01 06:58:30,2608
2019-05-01 06:57:24,2596
2019-05-01 06:56:18,2599
2019-05-01 06:55:12,2599
2019-05-01 06:54:06,2590
2019-05-01 06:53:00,2591
2019-05-01 06:51:54,2612
2019-05-01 06:50:48,2597
2019-05-01 06:49:42,2600
2019-05-01 06:48:36,2613
2019-05-01 06:47:30,2593
2019-05-01 06:46:24,2592
2019-05-01 06:45:18,2605
2019-05-01 06:44:12,2592
2019-05-01 06:43:06,2596
2019-05-01 06:42:00,2596
2019-05-01 06:40:54,2593
2019-05-01 06:39:48,2608
2019-05-01 06:38:42,2595
2019-05-01 06:37:36,2594
2019-05-01 06:36:30,2586
2019-05-01 06:35:24,2588
2019-05-01 06:34:18,2596
2019-05-01 06:33:12,2591
2019-05-01 06:32:06,2592
2019-05-01 06:31:00,2592
2019-05-01 06:29:54,2583
2019-05-01 06:28:48,2594
2019-05-01 06:27:42,2591
2019-05-01 06:26:36,2596
2019-05-01 06:25:30,2590
2019-05-01 06:24:24,2595
2019-05-01 06:23:18,2588
2019-05-01 06:22:12,2599
2019-05-01 06:21:06,2588
2019-05-01 06:20:00,2593
2019-05-01 06:18:54,2599
2019-05-01 06:17:47,2592
2019-05-01 06:16:42,2591
2019-05-01 06:15:36,2592
2019-05-01 06:14:30,2603
2019-05-01 06:13:24,2590
2019-05-01 06:12:18,2602
2019-05-01 06:11:11,2596
2019-05-01 06:10:06,2596
2019-05-01 06:09:00,2599
2019-05-01 06:07:54,2595
2019-05-01 06:06:48,2593
2019-05-01 06:05:42,2591
2019-05-01 06:04:35,2599
2019-05-01 06:03:30,2600
2019-05-01 06:02:24,2606
2019-05-01 06:01:18,2598
2019-05-01 06:00:12,2588
2019-05-01 05:59:06,2600
2019-05-01 05:57:59,2590
2019-05-01 05:56:53,2591
2019-05-01 05:55:47,2587
2019-05-01 05:54:41,2581
2019-05-01 05:53:36,2590
2019-05-01 05:52:30,2591
2019-05-01 05:51:23,2591
2019-05-01 05:50:18,2588
2019-05-01 05:49:12,2584
2019-05-01 05:48:05,2602
2019-05-01 05:47:00,2584
2019-05-01 05:45:54,2586
2019-05-01 05:44:48,2588
2019-05-01 05:43:42,2585
2019-05-01 05:42:35,2588
2019-05-01 05:41:29,2573
2019-05-01 05:40:24,2588
2019-05-01 05:39:17,2588
2019-05-01 05:38:11,2590
2019-05-01 05:37:05,2577
2019-05-01 05:35:59,2591
2019-05-01 05:34:54,2591
2019-05-01 05:33:47,2592
2019-05-01 05:32:41,2587
2019-05-01 05:31:35,2583
2019-05-01 05:30:29,2592
2019-05-01 05:29:23,2590
2019-05-01 05:28:17,2576
2019-05-01 05:27:11,2597
2019-05-01 05:26:05,2586
2019-05-01 05:24:59,2584
2019-05-01 05:23:53,2590
2019-05-01 05:22:47,2591
2019-05-01 05:21:41,2583
2019-05-01 05:20:35,2582
2019-05-01 05:19:30,2589
2019-05-01 05:18:23,2595
2019-05-01 05:17:18,2580
2019-05-01 05:16:11,2576
2019-05-01 05:15:06,2596
2019-05-01 05:14:00,2584
2019-05-01 05:12:53,2592
2019-05-01 05:11:47,2593
2019-05-01 05:10:41,2577
2019-05-01 05:09:35,2585
2019-05-01 05:08:29,2582
2019-05-01 05:07:23,2584
2019-05-01 05:06:17,2591
2019-05-01 05:05:11,2578
2019-05-01 05:04:05,2604
2019-05-01 05:02:59,2565
2019-05-01 05:01:53,2570
2019-05-01 05:00:48,2584
2019-05-01 04:59:41,2587
2019-05-01 04:58:35,2574
2019-05-01 04:57:29,2588
2019-05-01 04:56:23,2584
2019-05-01 04:55:18,2588
2019-05-01 04:54:11,2584
2019-05-01 04:53:05,2585
2019-05-01 04:51:59,2591
2019-05-01 04:50:53,2567
2019-05-01 04:49:47,2588
2019-05-01 04:48:41,2582
2019-05-01 04:47:35,2576
2019-05-01 04:46:29,2580
2019-05-01 04:45:23,2580
2019-05-01 04:44:17,2570
2019-05-01 04:43:11,2582
2019-05-01 04:42:05,2585
2019-05-01 04:40:59,2591
2019-05-01 04:39:53,2580
2019-05-01 04:38:47,2580
2019-05-01 04:37:41,2566
2019-05-01 04:36:35,2582
2019-05-01 04:35:29,2577
2019-05-01 04:34:23,2583
2019-05-01 04:33:18,2583
2019-05-01 04:32:11,2576
2019-05-01 04:31:05,2580
2019-05-01 04:29:59,2580
2019-05-01 04:28:53,2569
2019-05-01 04:27:47,2575
2019-05-01 04:26:41,2574
2019-05-01 04:25:35,2580
2019-05-01 04:24:29,2573
2019-05-01 04:23:23,2591
2019-05-01 04:22:17,2584
2019-05-01 04:21:11,2569
2019-05-01 04:20:06,2573
2019-05-01 04:18:59,2576
2019-05-01 04:17:53,2577
2019-05-01 04:16:47,2566
2019-05-01 04:15:41,2577
2019-05-01 04:14:35,2584
2019-05-01 04:13:29,2578
2019-05-01 04:12:23,2583
2019-05-01 04:11:17,2577
2019-05-01 04:10:11,2568
2019-05-01 04:09:05,2576
2019-05-01 04:07:59,2579
2019-05-01 04:06:53,2590
2019-05-01 04:05:47,2580
2019-05-01 04:04:41,2575
2019-05-01 04:03:36,2574
2019-05-01 04:02:29,2577
2019-05-01 04:01:23,2577
2019-05-01 04:00:17,2576
2019-05-01 03:59:11,2583
2019-05-01 03:58:05,2573
2019-05-01 03:56:59,2574
2019-05-01 03:55:53,2565
2019-05-01 03:54:47,2582
2019-05-01 03:53:41,2573
2019-05-01 03:52:35,2580
2019-05-01 03:51:29,2575
2019-05-01 03:50:23,2584
2019-05-01 03:49:17,2573
2019-05-01 03:48:11,2580
2019-05-01 03:47:05,2579
2019-05-01 03:45:59,2575
2019-05-01 03:44:53,2574
2019-05-01 03:43:47,2575
2019-05-01 03:42:41,2567
2019-05-01 03:41:35,2580
2019-05-01 03:40:29,2577
2019-05-01 03:39:23,2568
2019-05-01 03:38:17,2572
2019-05-01 03:37:11,2569
2019-05-01 03:36:05,2567
2019-05-01 03:34:59,2576
2019-05-01 03:33:53,2576
2019-05-01 03:32:47,2572
2019-05-01 03:31:41,2565
2019-05-01 03:30:35,2563
2019-05-01 03:29:29,2576
2019-05-01 03:28:23,2568
2019-05-01 03:27:17,2560
2019-05-01 03:26:11,2586
2019-05-01 03:25:05,2573
2019-05-01 03:23:59,2570
2019-05-01 03:22:53,2551
2019-05-01 03:21:47,2571
2019-05-01 03:20:41,2569
2019-05-01 03:19:35,2559
2019-05-01 03:18:29,2570
2019-05-01 03:17:23,2569
2019-05-01 03:16:17,2571
2019-05-01 03:15:11,2582
2019-05-01 03:14:05,2568
2019-05-01 03:12:59,2576
2019-05-01 03:11:53,2582
2019-05-01 03:10:47,2560
2019-05-01 03:09:41,2568
2019-05-01 03:08:35,2572
2019-05-01 03:07:29,2561
2019-05-01 03:06:23,2561
2019-05-01 03:05:17,2566
2019-05-01 03:04:11,2575
2019-05-01 03:03:05,2573
2019-05-01 03:01:59,2572
2019-05-01 03:00:53,2557
2019-05-01 02:59:47,2566
2019-05-01 02:58:41,2566
2019-05-01 02:57:35,2559
2019-05-01 02:56:29,2560
2019-05-01 02:55:23,2551
2019-05-01 02:54:17,2564
2019-05-01 02:53:11,2586
2019-05-01 02:52:05,2564
2019-05-01 02:50:59,2570
2019-05-01 02:49:53,2566
2019-05-01 02:48:47,2570
2019-05-01 02:47:41,2572
2019-05-01 02:46:35,2569
2019-05-01 02:45:29,2559
2019-05-01 02:44:23,2569
2019-05-01 02:43:17,2569
2019-05-01 02:42:11,2571
2019-05-01 02:41:05,2565
2019-05-01 02:39:59,2568
2019-05-01 02:38:53,2554
2019-05-01 02:37:47,2570
2019-05-01 02:36:41,2557
2019-05-01 02:35:35,2550
2019-05-01 02:34:29,2562
2019-05-01 02:33:23,2569
2019-05-01 02:32:17,2565
2019-05-01 02:31:11,2567
2019-05-01 02:30:05,2575
2019-05-01 02:28:59,2554
2019-05-01 02:27:53,2564
2019-05-01 02:26:47,2552
2019-05-01 02:25:41,2567
2019-05-01 02:24:35,2556
2019-05-01 02:23:29,2560
2019-05-01 02:22:23,2540
2019-05-01 02:21:17,2567
2019-05-01 02:20:11,2557
2019-05-01 02:19:05,2568
2019-05-01 02:17:59,2544
2019-05-01 02:16:53,2557
2019-05-01 02:15:47,2552
2019-05-01 02:14:41,2552
2019-05-01 02:13:35,2550
2019-05-01 02:12:29,2551
2019-05-01 02:11:23,2548
2019-05-01 02:10:17,2560
2019-05-01 02:09:11,2572
2019-05-01 02:08:05,2552
2019-05-01 02:06:59,2555
2019-05-01 02:05:53,2545
2019-05-01 02:04:47,2547
2019-05-01 02:03:41,2555
2019-05-01 02:02:35,2550
2019-05-01 02:01:29,2548
2019-05-01 02:00:23,2541
2019-05-01 01:59:17,2549
2019-05-01 01:58:11,2564
2019-05-01 01:57:05,2568
2019-05-01 01:55:59,2550
2019-05-01 01:54:53,2551
2019-05-01 01:53:47,2554
2019-05-01 01:52:41,2564
2019-05-01 01:51:35,2550
2019-05-01 01:50:29,2561
2019-05-01 01:49:23,2556
2019-05-01 01:48:17,2548
2019-05-01 01:47:11,2552
2019-05-01 01:46:05,2563
2019-05-01 01:44:59,2548
2019-05-01 01:43:53,2558
2019-05-01 01:42:47,2565
2019-05-01 01:41:41,2544
